課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資,開課時間,建議學習時間,學習時長,課程內容總合,課程技能,技能1,技能2,技能3,技能4,技能5,技能6,技能7,技能8,技能9,技能10,技能11,技能12,技能13,技能14,技能15,技能16,技能17,技能18,技能19
Driving business towards the Sustainable Development Goals,4.8 out of 5 stars,1.5K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/sdgbusiness,7 modules,"Business Ethics, Environmental Issue, Corporate Sustainability, Business Strategy, Collaboration, Business Transformation, Socioeconomics, Strategic Partnership, Systems Thinking, Economic Development, Goal Setting, Innovation, Environmental Social And Corporate Governance (ESG)",Week 1: Introduction to the Sustainable Development Goals | Week 2: The Biosphere | Week 3: Society I | Week 4: Society II | Week 5: Economy | Week 6: Partnerships | Week 7: Systems thinking,"MichaÃ©la Schippers, Erik van Raaij, Mallory Flowers, Steve Kennedy, Heleen Tiemersma, Dirk Schoenmaker, RenÃ© de Koster, Ying Zhang, Ferdinand Jaspers, Anne-Kathrin Klesse, Cees van Dam, Dianne Bevelander, Marieke de Wal, Steef van de Velde, Frank Wijen, Eva Rood, Marta Szymanowska, Rob van Tulder, Tobias Brandt, Amanda Williams, Yashar Ghiassi-Farrokhfal, Erasmus University Rotterdam",Starts Jul 18,,,"7 modules
Week 1: Introduction to the Sustainable Development Goals | Week 2: The Biosphere | Week 3: Society I | Week 4: Society II | Week 5: Economy | Week 6: Partnerships | Week 7: Systems thinking
Business Ethics, Environmental Issue, Corporate Sustainability, Business Strategy, Collaboration, Business Transformation, Socioeconomics, Strategic Partnership, Systems Thinking, Economic Development, Goal Setting, Innovation, Environmental Social And Corporate Governance (ESG)
Driving business towards the Sustainable Development Goals","['Business Ethics', 'Environmental Issue', 'Corporate Sustainability', 'Business Strategy', 'Collaboration', 'Business Transformation', 'Socioeconomics', 'Strategic Partnership', 'Systems Thinking', 'Economic Development', 'Goal Setting', 'Innovation', 'Environmental Social And Corporate Governance (ESG)']",Business Ethics,Environmental Issue,Corporate Sustainability,Business Strategy,Collaboration,Business Transformation,Socioeconomics,Strategic Partnership,Systems Thinking,Economic Development,Goal Setting,Innovation,Environmental Social And Corporate Governance (ESG),,,,,,
"The Sustainable Development Goals – A global, transdisciplinary vision for the future",4.8 out of 5 stars,4.7K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/global-sustainable-development,3 modules,"Environmental Resource Management, Environmental Science, Public Policies, Economic Development, Corporate Sustainability, Economics, Policy, and Social Studies, International Relations, Research, Environmental Policy, Sustainability Reporting, Systems Thinking, Environment",Sustainable Development as a Global Goal | Managing human impacts on the natural world | Social sustainability and the way forward,"Katherine Richardson, University of Copenhagen",Starts Jul 18,Flexible schedule,Approx. 10 hours.Learn at your own pace,"3 modules
Sustainable Development as a Global Goal | Managing human impacts on the natural world | Social sustainability and the way forward
Environmental Resource Management, Environmental Science, Public Policies, Economic Development, Corporate Sustainability, Economics, Policy, and Social Studies, International Relations, Research, Environmental Policy, Sustainability Reporting, Systems Thinking, Environment
The Sustainable Development Goals – A global, transdisciplinary vision for the future","['Environmental Resource Management', 'Environmental Science', 'Public Policies', 'Economic Development', 'Corporate Sustainability', 'Economics', 'Policy', 'and Social Studies', 'International Relations', 'Research', 'Environmental Policy', 'Sustainability Reporting', 'Systems Thinking', 'Environment']",Environmental Resource Management,Environmental Science,Public Policies,Economic Development,Corporate Sustainability,Economics,Policy,and Social Studies,International Relations,Research,Environmental Policy,Sustainability Reporting,Systems Thinking,Environment,,,,,
The Science of Well-Being,4.9 out of 5 stars,39K reviews,Mixed · Course · 1 - 3 Months,https://www.coursera.org/learn/the-science-of-well-being,10 modules,"Social Skills, Self-Awareness, Goal Setting, Resilience, Productivity, Psychology, Mental Health, Behavioral Economics, Mindfulness, Positive Behavior Support",Introduction | Misconceptions About Happiness | Why Our Expectations are so Bad | How Can We Overcome Our Biases | Stuff that Really Makes Us Happy | Putting Strategies into Practice | Start Your Final Rewirement Challenge | Continue Your Rewirement Challenge | Continue Your Rewirement Challenge | Submit Your Final Assignment,"Laurie Santos, Yale University",Starts Jul 18,Flexible schedule,Learn at your own pace,"10 modules
Introduction | Misconceptions About Happiness | Why Our Expectations are so Bad | How Can We Overcome Our Biases | Stuff that Really Makes Us Happy | Putting Strategies into Practice | Start Your Final Rewirement Challenge | Continue Your Rewirement Challenge | Continue Your Rewirement Challenge | Submit Your Final Assignment
Social Skills, Self-Awareness, Goal Setting, Resilience, Productivity, Psychology, Mental Health, Behavioral Economics, Mindfulness, Positive Behavior Support
The Science of Well-Being","['Social Skills', 'Self-Awareness', 'Goal Setting', 'Resilience', 'Productivity', 'Psychology', 'Mental Health', 'Behavioral Economics', 'Mindfulness', 'Positive Behavior Support']",Social Skills,Self-Awareness,Goal Setting,Resilience,Productivity,Psychology,Mental Health,Behavioral Economics,Mindfulness,Positive Behavior Support,,,,,,,,,
IBM Data Science,4.6 out of 5 stars,145K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/ibm-data-science,,"Predictive Modeling, Feature Engineering, Data Import/Export, Unsupervised Learning, Jupyter, Generative AI, Data Visualization, Data Wrangling, Exploratory Data Analysis, Dashboard, Supervised Learning, Data Mining","What is Data Science? | Tools for Data Science | Data Science Methodology | Python for Data Science, AI & Development | Python Project for Data Science | Databases and SQL for Data Science with Python | Data Analysis with Python | Data Visualization with Python | Machine Learning with Python | Applied Data Science Capstone | Generative AI: Elevate Your Data Science Career | Data Scientist Career Guide and Interview Preparation","IBM Skills Network Team, Dr. Pooja, Abhishek Gagneja, Romeo Kienzler, Joseph Santarcangelo, Polong Lin, Alex Aklson, Rav Ahuja, Saishruthi Swaminathan, Hima Vasudevan, Azim Hirjani, Aije Egwaikhide, Yan Luo, Svetlana Levitan, Jeff Grossman",Starts Jul 18,,,"nan
What is Data Science? | Tools for Data Science | Data Science Methodology | Python for Data Science, AI & Development | Python Project for Data Science | Databases and SQL for Data Science with Python | Data Analysis with Python | Data Visualization with Python | Machine Learning with Python | Applied Data Science Capstone | Generative AI: Elevate Your Data Science Career | Data Scientist Career Guide and Interview Preparation
Predictive Modeling, Feature Engineering, Data Import/Export, Unsupervised Learning, Jupyter, Generative AI, Data Visualization, Data Wrangling, Exploratory Data Analysis, Dashboard, Supervised Learning, Data Mining
IBM Data Science","['Predictive Modeling', 'Feature Engineering', 'Data Import/Export', 'Unsupervised Learning', 'Jupyter', 'Generative AI', 'Data Visualization', 'Data Wrangling', 'Exploratory Data Analysis', 'Dashboard', 'Supervised Learning', 'Data Mining']",Predictive Modeling,Feature Engineering,Data Import/Export,Unsupervised Learning,Jupyter,Generative AI,Data Visualization,Data Wrangling,Exploratory Data Analysis,Dashboard,Supervised Learning,Data Mining,,,,,,,
Programming for Everybody (Getting Started with Python),4.8 out of 5 stars,232K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/python,7 modules,"Development Environment, Software Installation, Computer Programming, Programming Principles, Python Programming",Chapter One - Why we Program? | Installing Python | Chapter One: Why We Program (continued) | Chapter Two: Variables and Expressions | Chapter Three: Conditional Code | Chapter Four: Functions | Chapter Five: Loops and Iteration,"Charles Russell Severance, University of Michigan",Starts Jul 18,Flexible schedule,Approx. 18 hours.Learn at your own pace,"7 modules
Chapter One - Why we Program? | Installing Python | Chapter One: Why We Program (continued) | Chapter Two: Variables and Expressions | Chapter Three: Conditional Code | Chapter Four: Functions | Chapter Five: Loops and Iteration
Development Environment, Software Installation, Computer Programming, Programming Principles, Python Programming
Programming for Everybody (Getting Started with Python)","['Development Environment', 'Software Installation', 'Computer Programming', 'Programming Principles', 'Python Programming']",Development Environment,Software Installation,Computer Programming,Programming Principles,Python Programming,,,,,,,,,,,,,,
Web Development with Rust,,,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/web-development-with-rust,4 modules,"Web Development, Rust (Programming Language), Web Applications, API Design, Database Development, System Programming, Software Documentation, Object-Relational Mapping, Server Side, Web Frameworks, Back-End Web Development, Application Programming Interface (API), Restful API, Web Servers, Secure Coding",Web Servers with Rocket | RESTful API Development | Systems Programming with Rust | Course Wrap Up and Assessment,,Starts Jul 18,Flexible schedule,Learn at your own pace,"4 modules
Web Servers with Rocket | RESTful API Development | Systems Programming with Rust | Course Wrap Up and Assessment
Web Development, Rust (Programming Language), Web Applications, API Design, Database Development, System Programming, Software Documentation, Object-Relational Mapping, Server Side, Web Frameworks, Back-End Web Development, Application Programming Interface (API), Restful API, Web Servers, Secure Coding
Web Development with Rust","['Web Development', 'Rust (Programming Language)', 'Web Applications', 'API Design', 'Database Development', 'System Programming', 'Software Documentation', 'Object-Relational Mapping', 'Server Side', 'Web Frameworks', 'Back-End Web Development', 'Application Programming Interface (API)', 'Restful API', 'Web Servers', 'Secure Coding']",Web Development,Rust (Programming Language),Web Applications,API Design,Database Development,System Programming,Software Documentation,Object-Relational Mapping,Server Side,Web Frameworks,Back-End Web Development,Application Programming Interface (API),Restful API,Web Servers,Secure Coding,,,,
Generative AI for Software Developers,4.7 out of 5 stars,7.5K reviews,Intermediate · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/generative-ai-for-software-developers,,"Artificial Intelligence, ChatGPT, Software Testing, CI/CD, Generative AI, Software Architecture, Software Engineering, Natural Language Processing, IBM Cloud, Test Automation, Prompt Engineering, OpenAI",Generative AI: Introduction and Applications | Generative AI: Prompt Engineering Basics | Generative AI:Â Elevate your Software Development Career,"Rav Ahuja, Antonio Cangiano, Ramanujam Srinivasan",Starts Jul 18,1 month,at 10 hours. a week,"nan
Generative AI: Introduction and Applications | Generative AI: Prompt Engineering Basics | Generative AI:Â Elevate your Software Development Career
Artificial Intelligence, ChatGPT, Software Testing, CI/CD, Generative AI, Software Architecture, Software Engineering, Natural Language Processing, IBM Cloud, Test Automation, Prompt Engineering, OpenAI
Generative AI for Software Developers","['Artificial Intelligence', 'ChatGPT', 'Software Testing', 'CI/CD', 'Generative AI', 'Software Architecture', 'Software Engineering', 'Natural Language Processing', 'IBM Cloud', 'Test Automation', 'Prompt Engineering', 'OpenAI']",Artificial Intelligence,ChatGPT,Software Testing,CI/CD,Generative AI,Software Architecture,Software Engineering,Natural Language Processing,IBM Cloud,Test Automation,Prompt Engineering,OpenAI,,,,,,,
Data Science Fundamentals with Python and SQL,4.6 out of 5 stars,72K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/data-science-fundamentals-python-sql,,"Probability Distribution, Data Analysis Software, Data Import/Export, Jupyter, Data Visualization, Statistical Analysis, Dashboard, Data Science, Statistics, Programming Principles, Databases, SQL","Tools for Data Science | Python for Data Science, AI & Development | Python Project for Data Science | Statistics for Data Science with Python | Databases and SQL for Data Science with Python","Murtaza Haider, Romeo Kienzler, Joseph Santarcangelo, Rav Ahuja, Hima Vasudevan, Azim Hirjani, Aije Egwaikhide, Svetlana Levitan",Starts Jul 18,Flexible schedule,"2 months, 10 hours. a weekLearn at your own pace","nan
Tools for Data Science | Python for Data Science, AI & Development | Python Project for Data Science | Statistics for Data Science with Python | Databases and SQL for Data Science with Python
Probability Distribution, Data Analysis Software, Data Import/Export, Jupyter, Data Visualization, Statistical Analysis, Dashboard, Data Science, Statistics, Programming Principles, Databases, SQL
Data Science Fundamentals with Python and SQL","['Probability Distribution', 'Data Analysis Software', 'Data Import/Export', 'Jupyter', 'Data Visualization', 'Statistical Analysis', 'Dashboard', 'Data Science', 'Statistics', 'Programming Principles', 'Databases', 'SQL']",Probability Distribution,Data Analysis Software,Data Import/Export,Jupyter,Data Visualization,Statistical Analysis,Dashboard,Data Science,Statistics,Programming Principles,Databases,SQL,,,,,,,
Key Technologies for Business,4.7 out of 5 stars,102K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/key-technologies-for-business,,"Business, Cloud Computing, Computer Science, ChatGPT, Generative AI, Cloud Infrastructure, Cloud Computing Architecture, Data Governance, Big Data, Data Mining, Natural Language Processing, Data Science",Introduction to Cloud Computing | Introduction to Artificial Intelligence (AI) | What is Data Science?,"Alex Aklson, Rav Ahuja",Starts Jul 18,1 month,at 10 hours. a week,"nan
Introduction to Cloud Computing | Introduction to Artificial Intelligence (AI) | What is Data Science?
Business, Cloud Computing, Computer Science, ChatGPT, Generative AI, Cloud Infrastructure, Cloud Computing Architecture, Data Governance, Big Data, Data Mining, Natural Language Processing, Data Science
Key Technologies for Business","['Business', 'Cloud Computing', 'Computer Science', 'ChatGPT', 'Generative AI', 'Cloud Infrastructure', 'Cloud Computing Architecture', 'Data Governance', 'Big Data', 'Data Mining', 'Natural Language Processing', 'Data Science']",Business,Cloud Computing,Computer Science,ChatGPT,Generative AI,Cloud Infrastructure,Cloud Computing Architecture,Data Governance,Big Data,Data Mining,Natural Language Processing,Data Science,,,,,,,
An Introduction to Accessibility and Inclusive Design,4.7 out of 5 stars,239 reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/accessibility,5 modules,"Law, Regulation, and Compliance, Instructional Design, Multimedia, Education and Training, Diversity Awareness, Visual Impairment Education, Hypertext Markup Language (HTML), Web Content Accessibility Guidelines, Advocacy, Disabilities",Course Orientation | Module 1: Understanding Disability and Assistive Technology | Module 2: The Legal Landscape and the Workplace | Module 3: Universal Design | Module 4: Accessible Digital Materials,"Marc Thompson, Lori Lane, Tania Heap, University of Illinois Urbana-Champaign",Starts Jul 18,Flexible schedule,Approx. 14 hours.Learn at your own pace,"5 modules
Course Orientation | Module 1: Understanding Disability and Assistive Technology | Module 2: The Legal Landscape and the Workplace | Module 3: Universal Design | Module 4: Accessible Digital Materials
Law, Regulation, and Compliance, Instructional Design, Multimedia, Education and Training, Diversity Awareness, Visual Impairment Education, Hypertext Markup Language (HTML), Web Content Accessibility Guidelines, Advocacy, Disabilities
An Introduction to Accessibility and Inclusive Design","['Law', 'Regulation', 'and Compliance', 'Instructional Design', 'Multimedia', 'Education and Training', 'Diversity Awareness', 'Visual Impairment Education', 'Hypertext Markup Language (HTML)', 'Web Content Accessibility Guidelines', 'Advocacy', 'Disabilities']",Law,Regulation,and Compliance,Instructional Design,Multimedia,Education and Training,Diversity Awareness,Visual Impairment Education,Hypertext Markup Language (HTML),Web Content Accessibility Guidelines,Advocacy,Disabilities,,,,,,,
Introduction to Accessible Web Development,4.7 out of 5 stars,36 reviews,Intermediate · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/introduction-to-accessible-web-development,,"Usability, Javascript, User Interface (UI), UI Components, Front-End Web Development, Cascading Style Sheets (CSS), Semantic Web, HTML and CSS, Web Content Accessibility Guidelines",,"Dylan Sheffer, Coursera Project Network",,2 hours,Learn at your own pace,"nan
nan
Usability, Javascript, User Interface (UI), UI Components, Front-End Web Development, Cascading Style Sheets (CSS), Semantic Web, HTML and CSS, Web Content Accessibility Guidelines
Introduction to Accessible Web Development","['Usability', 'Javascript', 'User Interface (UI)', 'UI Components', 'Front-End Web Development', 'Cascading Style Sheets (CSS)', 'Semantic Web', 'HTML and CSS', 'Web Content Accessibility Guidelines']",Usability,Javascript,User Interface (UI),UI Components,Front-End Web Development,Cascading Style Sheets (CSS),Semantic Web,HTML and CSS,Web Content Accessibility Guidelines,,,,,,,,,,
Advanced Java Programming and Web Development,,,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/packt-advanced-java-programming-and-web-development-xl6zx,12 modules,"Programming Principles, File Management, Apache, Extensible Markup Language (XML), Cascading Style Sheets (CSS), Web Development Tools, Data Import/Export, Java Programming, Test Automation, Debugging, Selenium (Software)",Regular Expressions | Exception Handling | Date and Time Operations (Rev Java 8) | Working with Text Files - Apache Commons Input/Output (IO) | Working with Excel Files - Apache Poor Obfuscation Implementation (POI) | Selenium WebDriver Introduction | Element Locaters | XPath | XPath Axes | Cascading Style Sheets (CSS) Selectors | Working with Element Collections | Getting Details from Web Page for Validation Purpose,Packt - Course Instructors,Starts Jul 18,Flexible schedule,Learn at your own pace,"12 modules
Regular Expressions | Exception Handling | Date and Time Operations (Rev Java 8) | Working with Text Files - Apache Commons Input/Output (IO) | Working with Excel Files - Apache Poor Obfuscation Implementation (POI) | Selenium WebDriver Introduction | Element Locaters | XPath | XPath Axes | Cascading Style Sheets (CSS) Selectors | Working with Element Collections | Getting Details from Web Page for Validation Purpose
Programming Principles, File Management, Apache, Extensible Markup Language (XML), Cascading Style Sheets (CSS), Web Development Tools, Data Import/Export, Java Programming, Test Automation, Debugging, Selenium (Software)
Advanced Java Programming and Web Development","['Programming Principles', 'File Management', 'Apache', 'Extensible Markup Language (XML)', 'Cascading Style Sheets (CSS)', 'Web Development Tools', 'Data Import/Export', 'Java Programming', 'Test Automation', 'Debugging', 'Selenium (Software)']",Programming Principles,File Management,Apache,Extensible Markup Language (XML),Cascading Style Sheets (CSS),Web Development Tools,Data Import/Export,Java Programming,Test Automation,Debugging,Selenium (Software),,,,,,,,
Web Development with Rust,,,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/web-development-with-rust,4 modules,"Web Development, Rust (Programming Language), Web Applications, API Design, Database Development, System Programming, Software Documentation, Object-Relational Mapping, Server Side, Web Frameworks, Back-End Web Development, Application Programming Interface (API), Restful API, Web Servers, Secure Coding",Web Servers with Rocket | RESTful API Development | Systems Programming with Rust | Course Wrap Up and Assessment,,Starts Jul 18,Flexible schedule,Learn at your own pace,"4 modules
Web Servers with Rocket | RESTful API Development | Systems Programming with Rust | Course Wrap Up and Assessment
Web Development, Rust (Programming Language), Web Applications, API Design, Database Development, System Programming, Software Documentation, Object-Relational Mapping, Server Side, Web Frameworks, Back-End Web Development, Application Programming Interface (API), Restful API, Web Servers, Secure Coding
Web Development with Rust","['Web Development', 'Rust (Programming Language)', 'Web Applications', 'API Design', 'Database Development', 'System Programming', 'Software Documentation', 'Object-Relational Mapping', 'Server Side', 'Web Frameworks', 'Back-End Web Development', 'Application Programming Interface (API)', 'Restful API', 'Web Servers', 'Secure Coding']",Web Development,Rust (Programming Language),Web Applications,API Design,Database Development,System Programming,Software Documentation,Object-Relational Mapping,Server Side,Web Frameworks,Back-End Web Development,Application Programming Interface (API),Restful API,Web Servers,Secure Coding,,,,
Key Technologies for Business,4.7 out of 5 stars,102K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/key-technologies-for-business,,"Business, Cloud Computing, Computer Science, ChatGPT, Generative AI, Cloud Infrastructure, Cloud Computing Architecture, Data Governance, Big Data, Data Mining, Natural Language Processing, Data Science",Introduction to Cloud Computing | Introduction to Artificial Intelligence (AI) | What is Data Science?,"Alex Aklson, Rav Ahuja",Starts Jul 18,,,"nan
Introduction to Cloud Computing | Introduction to Artificial Intelligence (AI) | What is Data Science?
Business, Cloud Computing, Computer Science, ChatGPT, Generative AI, Cloud Infrastructure, Cloud Computing Architecture, Data Governance, Big Data, Data Mining, Natural Language Processing, Data Science
Key Technologies for Business","['Business', 'Cloud Computing', 'Computer Science', 'ChatGPT', 'Generative AI', 'Cloud Infrastructure', 'Cloud Computing Architecture', 'Data Governance', 'Big Data', 'Data Mining', 'Natural Language Processing', 'Data Science']",Business,Cloud Computing,Computer Science,ChatGPT,Generative AI,Cloud Infrastructure,Cloud Computing Architecture,Data Governance,Big Data,Data Mining,Natural Language Processing,Data Science,,,,,,,
IBM Relational Database Administrator,4.6 out of 5 stars,59K reviews,Intermediate · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/ibm-relational-database-administrator,,"Database Design, Data Store, Data Pipelines, Data Import/Export, Database Architecture and Administration, Database Management, Bash (Scripting Language), Generative AI, Linux Commands, Data Security, Apache Kafka, Shell Script","Introduction to Data Engineering | Introduction to Relational Databases (RDBMS) | Python for Data Science, AI & Development | Python Project for Data Engineering | Databases and SQL for Data Science with Python | Hands-on Introduction to Linux Commands and Shell Scripting | ETL and Data Pipelines with Shell, Airflow and Kafka | Data Warehouse Fundamentals | Relational Database Administration (DBA) | Relational Database Administration Capstone Project | Generative AI: Elevate your Data Engineering Career","Abhishek Gagneja, Joseph Santarcangelo, Rav Ahuja, Hima Vasudevan, Sandip Saha Joy, Priya Kapoor, Lavanya Thiruvali Sunderarajan, Yan Luo, Ramesh Sannareddy, Sabrina Spillner, Jeff Grossman, Sam Prokopchuk",Starts Jul 18,6 months,at 10 hours. a week,"nan
Introduction to Data Engineering | Introduction to Relational Databases (RDBMS) | Python for Data Science, AI & Development | Python Project for Data Engineering | Databases and SQL for Data Science with Python | Hands-on Introduction to Linux Commands and Shell Scripting | ETL and Data Pipelines with Shell, Airflow and Kafka | Data Warehouse Fundamentals | Relational Database Administration (DBA) | Relational Database Administration Capstone Project | Generative AI: Elevate your Data Engineering Career
Database Design, Data Store, Data Pipelines, Data Import/Export, Database Architecture and Administration, Database Management, Bash (Scripting Language), Generative AI, Linux Commands, Data Security, Apache Kafka, Shell Script
IBM Relational Database Administrator","['Database Design', 'Data Store', 'Data Pipelines', 'Data Import/Export', 'Database Architecture and Administration', 'Database Management', 'Bash (Scripting Language)', 'Generative AI', 'Linux Commands', 'Data Security', 'Apache Kafka', 'Shell Script']",Database Design,Data Store,Data Pipelines,Data Import/Export,Database Architecture and Administration,Database Management,Bash (Scripting Language),Generative AI,Linux Commands,Data Security,Apache Kafka,Shell Script,,,,,,,
